Strategy,Start,End,Days,Total Return %,CAGR %,Sharpe,Sortino,Max DD %,Calmar,Exposure %,Time in Market %,Return per Invested Day (bp),Turnover x/yr,Trades,Closed Trades,"Win Rate % (closed, net)","Avg Trade % (closed, net)",Segment,"Avg win % (closed, net)","Avg loss % (closed, net)",Median hold (sessions)
E11 fixed threshold X=20 (info),2024-09-17,2026-09-24,507,96.8221,40.0125,1.2044,1.7679,-28.55,1.4015,91.4976,100.0,16.87,27.7985,266,256,30.0781,-0.9613,Seen 2024-09→now,13.795,-7.309,10.7014
E11 fixed threshold X=20 (info),2025-09-24,2026-09-24,252,-4.5723,-4.5723,-0.0146,-0.0199,-21.0121,-0.2176,95.2869,100.0,-0.1772,32.1384,148,138,26.087,-3.8735,Last 12m,7.1573,-7.7667,10.3562
E11 fixed threshold X=30 (info),2022-04-01,2026-09-24,1124,279.6571,34.865,1.2505,1.842,-32.1344,1.085,82.7724,100.0,16.0759,35.3387,810,800,34.875,-0.3025,WF stitched,9.849,-5.7387,6.9041
E11 fixed threshold X=30 (info),2022-04-01,2024-09-16,617,56.4247,20.0493,0.9118,1.3654,-19.6673,1.0194,77.8467,100.0,10.6533,33.8954,458,448,33.9286,-0.8691,Never-seen 2022-04→2024-09,8.163,-5.5072,6.9041
E11 fixed threshold X=30 (info),2024-09-17,2026-09-24,507,143.3733,55.5943,1.5872,2.313,-32.1344,1.7301,88.8357,100.0,21.9071,37.442,361,351,35.0427,0.1905,Seen 2024-09→now,11.7879,-6.066,6.9041
E11 fixed threshold X=30 (info),2025-09-24,2026-09-24,252,24.5572,24.5572,0.9251,1.3354,-14.0163,1.752,92.0658,100.0,11.154,45.2234,203,193,33.6788,-1.2409,Last 12m,6.424,-5.1332,5.5233
E11 fixed threshold X=40 (info),2022-04-01,2026-09-24,1124,293.2729,35.9346,1.2682,1.888,-30.0563,1.1956,74.2004,99.911,18.3997,53.9639,1206,1198,36.1436,0.0856,WF stitched,8.3697,-4.6033,3.4521
E11 fixed threshold X=40 (info),2022-04-01,2024-09-16,617,39.4708,14.5542,0.6893,1.0224,-24.1307,0.6031,69.3818,99.8379,9.3914,54.1854,700,690,35.2174,-0.5793,Never-seen 2022-04→2024-09,6.3177,-4.3286,3.4521
E11 fixed threshold X=40 (info),2024-09-17,2026-09-24,507,180.4757,66.9639,1.828,2.7261,-30.0563,2.228,80.0632,100.0,27.7691,54.1963,516,508,36.811,0.7798,Seen 2024-09→now,10.6612,-4.9766,4.1425
E11 fixed threshold X=40 (info),2025-09-24,2026-09-24,252,31.8447,31.8447,1.1088,1.6734,-19.6414,1.6213,79.1092,100.0,15.9196,57.9285,263,255,34.902,-0.2229,Last 12m,8.3931,-4.8422,3.4521
"E-BUF-WF buffer {15,20,25} walk-forward",2022-04-01,2026-09-24,1124,266.1629,33.7751,1.1487,1.7024,-29.9219,1.1288,87.7863,100.0,15.0636,24.8647,471,461,39.6963,-0.7875,WF stitched,12.1042,-9.2738,14.4986
"E-BUF-WF buffer {15,20,25} walk-forward",2022-04-01,2024-09-16,617,28.7097,10.8583,0.5345,0.7709,-24.6629,0.4403,82.8308,100.0,6.464,23.5973,255,245,37.551,-2.1644,Never-seen 2022-04→2024-09,9.6164,-9.2483,14.4986
"E-BUF-WF buffer {15,20,25} walk-forward",2024-09-17,2026-09-24,507,183.7047,67.9165,1.7378,2.6254,-29.9219,2.2698,93.817,100.0,24.2455,26.9087,226,216,41.2037,0.2964,Seen 2024-09→now,13.9638,-9.2816,14.4986
"E-BUF-WF buffer {15,20,25} walk-forward",2025-09-24,2026-09-24,252,24.637,24.637,0.9029,1.3233,-19.3337,1.2743,97.2207,100.0,10.7177,30.1302,127,117,35.0427,-2.6683,Last 12m,7.3067,-8.0496,9.6658
"E-SC-WF score exit {0,10} walk-forward",2022-04-01,2026-09-24,1124,158.1556,23.6926,0.9065,1.3186,-32.7417,0.7236,87.7865,100.0,11.3474,12.8798,233,223,34.0807,-2.9041,WF stitched,15.6631,-12.5034,38.663
"E-SC-WF score exit {0,10} walk-forward",2022-04-01,2024-09-16,617,27.5272,10.4412,0.5651,0.7768,-22.6127,0.4617,82.8252,100.0,5.9012,12.5399,141,131,32.8244,-3.9432,Never-seen 2022-04→2024-09,11.5455,-11.5115,37.9726
"E-SC-WF score exit {0,10} walk-forward",2024-09-17,2026-09-24,507,101.9449,41.8121,1.2106,1.8175,-32.7417,1.277,93.8241,100.0,17.1477,13.7827,102,92,33.6957,-2.1264,Seen 2024-09→now,21.278,-14.0204,38.3178
"E-SC-WF score exit {0,10} walk-forward",2025-09-24,2026-09-24,252,6.2864,6.2864,0.3573,0.4924,-23.7364,0.2648,97.2345,100.0,4.1295,16.119,61,51,27.451,-4.0924,Last 12m,15.6571,-11.5652,32.4493
E-STOP-WF MA50 vs 3xATR walk-forward,2022-04-01,2026-09-24,1124,117.1077,18.9823,0.8484,1.2152,-33.6537,0.564,81.695,99.911,9.8289,16.422,354,344,32.8488,-0.9158,WF stitched,17.0128,-9.6861,21.4027
E-STOP-WF MA50 vs 3xATR walk-forward,2022-04-01,2024-09-16,617,45.4733,16.5427,0.8742,1.2572,-15.7669,1.0492,77.2457,99.8379,8.868,15.141,201,191,32.9843,-1.0172,Never-seen 2022-04→2024-09,14.1354,-8.4752,21.4027
E-STOP-WF MA50 vs 3xATR walk-forward,2024-09-17,2026-09-24,507,49.0076,21.9247,0.847,1.2112,-33.6537,0.6515,87.1096,100.0,10.8302,18.471,163,153,32.0261,-0.9957,Seen 2024-09→now,20.5817,-11.162,20.7123
E-STOP-WF MA50 vs 3xATR walk-forward,2025-09-24,2026-09-24,252,12.7545,12.7545,0.5942,0.8461,-13.9751,0.9127,91.6721,100.0,6.6384,18.5239,84,74,31.0811,-2.9438,Last 12m,15.2272,-11.1386,21.4027
